construct,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
Executive Attention,0.0,0.0018212541705710933,0.0,0.001357451256985565,0.2841427630519563,0.001451901307959544,0.0
Executive Control,0.01094192530509654,0.017497539286751924,0.027087187102016852,0.04451308128051769,0.1192345170136794,0.054970010446198425,0.01674525417316824
Executive Function,0.061318252002116776,0.0027379064442389425,0.019479081891798273,0.24754555424127084,0.0039339719031262765,0.013364647817776366,0.010742578589861293
Explicit Memory,0.002378125252347358,0.0,0.0,0.005857953106913874,0.0,9.364445011209808e-05,0.005263239478739961
Feedback Learning,0.0,3.0842256060138367e-06,0.003953739539646989,0.004215825933948557,0.0002033924602584139,0.0,0.0
Fluency,0.7236445034533138,0.0,0.0013024040753937382,0.0,0.001103644775131213,0.0035667487721987383,0.008292421651912029
Fluid Intelligence,0.0050436535970446415,0.0024084049880802243,0.00021928029828477378,0.009010010526630126,0.01018452464910874,0.006720265232035587,0.05852488546376108
Focused Attention,0.0014272461868712458,0.0,0.0036345298496675287,0.007905551655132124,0.0022205883039235342,0.00523436759504554,0.0034484254563873985
Generativity,0.0016019995224824661,0.0,0.0,0.0022633829235536806,0.00014872514766344288,0.0,0.0008373049526950946
Higher Order Executive Function,0.0,0.0,0.0,0.0005784803150878417,1.5637701227450254e-06,0.0,0.0003950995327042028
Inhibition,0.0026623032812470126,0.0002617971806976557,0.025858154533387783,0.010330690147088092,0.00016437645607771258,0.00910023280495007,0.0009760245574815513
Inhibitory Control,0.008578391037386598,0.0008709794142195761,0.16525981753139002,0.0353778716811102,0.0,0.05656452199731346,0.0027527301415586894
Initiation,0.0030018652410550616,0.0,0.0031478319243631583,0.0054706937204924274,0.0,0.002245250895548095,0.00018658787083501385
Interference Control,0.0015054884148143516,0.012431104676779697,0.0,0.0,0.0035524778318989903,0.10463233398586542,0.02011456654177984
Logical Reasoning,0.0009265745265105855,0.0,0.0,0.008741379317812149,1.714000955910867e-06,0.0,0.0017085409495641325
